name,title,barcode,size,brand,image3,category
HEWDA1-8735,Pinterest X Alohas | Cannes Flower By Sara Baceiredo,8435476145993,35,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/pinterest-x-alohas-cannes-flower-by-sara-baceiredo-sandals-alohas-997625.jpg?v=1677089553,shoes
HEWDA1-8736,Pinterest X Alohas | Cannes Flower By Sara Baceiredo,8435476146006,36,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/pinterest-x-alohas-cannes-flower-by-sara-baceiredo-sandals-alohas-997625.jpg?v=1677089553,shoes
HEWDA1-8737,Pinterest X Alohas | Cannes Flower By Sara Baceiredo,8435476146013,37,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/pinterest-x-alohas-cannes-flower-by-sara-baceiredo-sandals-alohas-997625.jpg?v=1677089553,shoes
HEWDA1-8738,Pinterest X Alohas | Cannes Flower By Sara Baceiredo,8435476146020,38,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/pinterest-x-alohas-cannes-flower-by-sara-baceiredo-sandals-alohas-997625.jpg?v=1677089553,shoes
HEWDA1-8739,Pinterest X Alohas | Cannes Flower By Sara Baceiredo,8435476146037,39,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/pinterest-x-alohas-cannes-flower-by-sara-baceiredo-sandals-alohas-997625.jpg?v=1677089553,shoes
HEWDA1-8740,Pinterest X Alohas | Cannes Flower By Sara Baceiredo,8435476146044,40,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/pinterest-x-alohas-cannes-flower-by-sara-baceiredo-sandals-alohas-997625.jpg?v=1677089553,shoes
HEWDA1-8741,Pinterest X Alohas | Cannes Flower By Sara Baceiredo,8435476146051,41,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/pinterest-x-alohas-cannes-flower-by-sara-baceiredo-sandals-alohas-997625.jpg?v=1677089553,shoes
HEWDA1-8742,Pinterest X Alohas | Cannes Flower By Sara Baceiredo,8435476146068,42,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/pinterest-x-alohas-cannes-flower-by-sara-baceiredo-sandals-alohas-997625.jpg?v=1677089553,shoes
HEWDA2-7435,Cannes Zebra,8435476138889,35,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-zebra-sandals-alohas-736112.jpg?v=1677085846,
HEWDA2-7436,Cannes Zebra,8435476138896,36,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-zebra-sandals-alohas-736112.jpg?v=1677085846,
HEWDA2-7437,Cannes Zebra,8435476138902,37,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-zebra-sandals-alohas-736112.jpg?v=1677085846,
HEWDA2-7438,Cannes Zebra,8435476138919,38,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-zebra-sandals-alohas-736112.jpg?v=1677085846,
HEWDA2-7439,Cannes Zebra,8435476138926,39,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-zebra-sandals-alohas-736112.jpg?v=1677085846,
